[0.7s - 2.7s] 商品サービスには自信があって
[2.7s - 5.8s] 実際に使ってくれた人の満足度は高いのに
[6.3s - 8.0s] なぜか売上が伸びない
[8.5s - 10.8s] という悩みをお持ちの方は多いと思います
[11.4s - 14.8s] その原因は商品力のせいだと思っていませんか
[15.5s - 18.2s] 実は多くの会社が見落としている
[18.2s - 20.3s] 根本的な問題があります
[21.2s - 22.5s] それは伝え方です
[22.9s - 24.3s] いくら商品が良くても
[24.3s - 27.3s] それが正しく伝わらなければ売れません
[27.7s - 32.1s] なぜならお客様は伝わったことしか評価できないからです
[33.1s - 33.5s] こんにちは
[33.5s - 36.4s] マーケティングコピーライターの木沼純一です
[36.9s - 39.2s] 私は日本一のマーケッターと呼ばれる
[39.2s - 40.7s] 神田正則と協調で
[40.7s - 42.9s] コピーライティング技術大全や
[42.9s - 45.2s] 売れるコピーライティング単語帳など
[45.2s - 48.1s] 累計18万部以上の書籍を出し
[48.1s - 50.0s] センスや感覚に頼らない
[50.0s - 53.3s] 再現性あるコピーライティング技術を広めています
[53.9s - 56.9s] 今回はなぜ商品やサービスの魅力が
[56.9s - 57.8s] 伝わらないのか
[58.6s - 61.1s] そしてどうすれば伝わるようになるのかを
[61.1s - 63.7s] コピーライティングの技術から解き明かします
[64.4s - 65.8s] その鍵になるのが
[65.8s - 66.7s] PMM
[66.7s - 69.7s] プロダクトマーケットマッチングという考え方です
[70.7s - 73.5s] これは提供する価値と市場のニーズを
[73.5s - 75.1s] ぴったり合わせることです
[75.9s - 78.0s] ではどうやってマッチさせればいいのか
[78.4s - 79.9s] 私はこのPMMを
[79.9s - 82.2s] 次の3つでシンプルに定義しました
[82.9s - 85.3s] 誰が何をしてどうなった
[85.9s - 86.5s] 誰が
[86.5s - 89.3s] どんな悩みや理想を持った人が対象か
[89.7s - 91.5s] 全ての人に届けたいでは
[91.5s - 94.0s] 誰にも刺さらないのが現実です
[94.5s - 95.3s] 何をして
[95.3s - 97.3s] 自社の商品サービスは
[97.3s - 99.3s] 他とどこが違うのか
[99.3s - 101.7s] 差別化のポイントを曖昧にすると
[101.7s - 103.6s] 価格競争に巻き込まれます
[104.4s - 105.1s] どうなった
[105.1s - 106.7s] その商品を使って
[106.7s - 108.6s] お客様はどう変わるのか
[109.0s - 111.4s] その先にどんな未来が待っているのか
[111.4s - 113.6s] ここが最も大切です
[113.6s - 115.7s] 例えばこんな風に表現します
[116.1s - 117.4s] 愛犬のストレスから
[117.4s - 119.4s] ドッグサロンに連れて行けないと悩む
[119.4s - 121.4s] 40から50代の女性が
[121.4s - 123.2s] 出張ドッグサロンチェーン
[123.2s - 126.3s] 国内No.1のワンちゃん出張シャンプーを利用して
[126.8s - 129.4s] 愛犬がストレスなくシャンプーできるようになった
[129.9s - 130.6s] その結果
[130.6s - 132.0s] 愛犬も飼い主も
[132.0s - 134.7s] 心理的にも身体的にも健康になった
[135.7s - 139.9s] このように誰が何をしてどうなったでコンセプトを考えることで
[139.9s - 143.8s] お客様が自分ごととして受け取れるストーリーになります
[144.5s - 146.0s] この3つを明確にすれば
[146.0s - 147.9s] 商品やサービスの価値が
[148.2s - 150.0s] 言葉として立ち上がってきます
[151.1s - 152.3s] 私はこの技術を
[152.3s - 154.6s] 講座や企業研修を通じて
[154.6s - 157.2s] 多くのビジネスパーソンに届けてきました
[157.8s - 158.9s] そして実際に
[158.9s - 161.1s] 社内の営業成績が向上した
[161.1s - 163.0s] プレゼンが刺さるようになった
[163.0s - 164.8s] などの成果が出ています
[165.2s - 166.5s] 価値を伝えるとは
[166.5s - 168.7s] 相手の変化を描くことです
[169.2s - 170.8s] 誰が何をしてどうなった
[170.8s - 173.1s] この3つを言葉にするだけで
[173.1s - 174.8s] 伝わり方は変わります
[175.4s - 177.7s] 伝える技術は経営の力になる
[177.7s - 179.5s] 私はそう信じています
